Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor,barcode,,,,,,,,
E-S2709925 Sterling Silver,E-S2709,925 Sterling Silver 12mm*15mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12mm*15mm,39,Earrings,Gemnel,20955837,,,,,,,,
E-D3056925 Sterling Silver,E-D3056,925 Sterling Silver Opal:3mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal              freshwater pearl,Opal:3mm,32,Earrings,Gemnel,20988605,,,,,,,,
E-S4080925 Sterling Silver,E-S4080,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,/,26,Ring,Gemnel,21021373,,,,,,,,
B-R3004925 Sterling Silver,B-R3004,925 Sterling Silver Length: 16cm+4cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,Length: 16cm+4cm,36,Bracelet,Gemnel,21381821,,,,,,,,
R-F3125925 Sterling Silver,R-F3125,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,26,Ring,Gemnel,21414589,,,,,,,,
N-E4067925 Sterling Silver,N-E4067,925 Sterling Silver Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Chain: 40+5cm ,39,Necklace,Gemnel,21447357,,,,,,,,
R-F3222925 Sterling Silver,R-F3222,925 Sterling Silver Opal:2mm                   size5/6/7                               15pcs for each size platinum                 1 micron                  ,925 Sterling Silver,platinum                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 ,Opal:2mm                   size5/6/7                               15pcs for each size,26,Ring,Gemnel,21480125,,,,,,,,
R-F1315925 Sterling Silver,R-F1315,925 Sterling Silver Band 1.2mm                      size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal             zircon,Band 1.2mm                      size5/6/7                               15pcs for each size,29,Ring,Gemnel,21512893,,,,,,,,
N-E4188925 Sterling Silver,N-E4188,925 Sterling Silver 12 x 6mm opal                      Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12 x 6mm opal                      Chain: 40+5cm ,39,Necklace,Gemnel,21578429,,,,,,,,
N-E4187925 Sterling Silver,N-E4187,925 Sterling Silver Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm ,36,Necklace,Gemnel,21611197,,,,,,,,
R-F5131925 Sterling Silver,R-F5131,925 Sterling Silver SIZE 6  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,SIZE 6 ,38,Ring,Gemnel,21643965,,,,,,,,
