Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor
E-H1169925 Sterling Silver,E-H1169,925 Sterling Silver Inner diameter 7.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Inner diameter 7.5mm,38,Ring,Gemnel
E-S1013925 Sterling Silver,E-S1013,925 Sterling Silver 5.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,5.5mm,32,Earrings,Gemnel
R-F11084925 Sterling Silver,R-F11084,"925 Sterling Silver Band 1.2mm size5/6/7 15pcs for each size 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Band 1.2mm size5/6/7 15pcs for each size",34,Ring,Gemnel
E-S1120925 Sterling Silver,E-S1120,925 Sterling Silver 2.5mm Opal and 2.0mm CZ 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,2.5mm Opal and 2.0mm CZ,28,Earrings,Gemnel
E-ST4064925 Sterling Silver,E-ST4064,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,28,Earrings,Gemnel
R-E3051925 Sterling Silver,R-E3051,925 Sterling Silver size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,size5/6/7 15pcs for each size,28,Ring,Gemnel
E-S1487925 Sterling Silver,E-S1487,925 Sterling Silver 15mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,15mm,32,Earrings,Gemnel
E-S4001925 Sterling Silver,E-S4001,"925 Sterling Silver Opal:4mm Zircon:2.5mm 15pairs for each color 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Opal:4mm Zircon:2.5mm 15pairs for each color",24,Earrings,Gemnel
B-R3031925 Sterling Silver,B-R3031,925 Sterling Silver Stone part:16mm Length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Stone part:16mm Length:16cm+4cm,35,Bracelet,Gemnel
E-H11155-1925 Sterling Silver,E-H11155-1,925 Sterling Silver Inner Dia:8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Inner Dia:8mm,32,Ring,Gemnel
